Blog	转	mysql	内存	管理	分配	翻译	and	00	集群	之	备份	恢复	包含	详解	本文	部分	内容	了解	文章	可	对于	8	18	设计	给	大家	提供	技术	或	并	让	利用	最	从	库	总结	主从	原理	32	讲	28	请	点击	如果	图片	更	24	表	索引	时候	解决	里	存储	空间	记录	能	31	性能	测试	www	com	2018	a	参数	29	为什么	要	27	for	状态	数据库	据库	优化	维	及	工具	开发	对	一定	说明	最近	朋友	说	26	49	39	多	属性	分类	模式	b	当	多个	时	如何	结构	查询	描述	看到	一些	下	一次	创建	data	学习	分享	年	月	方式	同步	直播	41	23	注册	binlog	异常	高	研究	来源	34	发展	方案	基于	复制	等	来	实现	或者	公司	sql	函数	系列	相关	工作	35	分析	为	实际	如下	半	客户	客户端	7	读	事务	前言	一篇	42	hdfs	核心	概念	架构	机制	作为	场景	任务	写	保证	一致	一致性	包括	这种	以及	13	elasticsearch	方面	44	53	web	很多	这些	其中	一种	过程	分布	进行	可能	每个	58	分布式	布式	不同	节点	越来	越来越	两个	用场	常见	业务	日志	选择	部署	拓扑	自己	基本	网站	通过	过	数据仓库	仓库	处理	维度	更新	02	6	常用	用于	功能	通信	基础	以	五	微	信	用户	浏览	之间	关系	四	介绍	三	怎么	51	二	因为	还	代码	其实	还是	软件	比如	但是	它	java	线程	缓存	不是	类	2014	直接	网络	页面	然后	资源	非常	好	十年	今天	提升	项目	很		被	博客	一下	这个	of	安装	简介	即	文件系统	向	机器	程序	访问	服务器	务器	43	linux	ssh	登录	2	进入	目录	tar	包	c	local	配置	环境	变量	添加	支持	输入	类型	50	比较	转换	字符	字符串	二进制	进制	流程	首先	2015	框架	并且	动态	修改	你	spring	redis	导入	jar	运行	情况	结果	把	没有	出现	第一	又	个	三种	连接	还有	这里	版本	浏览器	生成	实例	json	session	现在	发现	所以	判断	定义	class	38	string	org	下载	地址	http	apache	产品	例如	语言	那么	简单	配置文件	main	计算	模型	逻辑	目标	启动	到	#	检查	阿里	人	机	再	云	只	他们	分为	企业	看	思想	事	周期	平台	it	数字	而	未来	条件	个人	行	段时间	1	才	59	案例	集合	各种	建立	提出	oracle	但	通常	map	显示	端	大小	key	快速	i	小	+	独立	大	得	篇文章	原因	示例	来说	码	去	id	例子	并发	3	得到	面试	已	2	1	站	打开	s	n	值	model	下面	生命	编译	命令	笔记	准备	之前	依赖	install	生命周期	格式	星	4	语法	算法	范围	对比	time	整数	语句	不过	概述	规划	接收	提交	单	设置	主	log	发送	级	gt	日期	块	idea	进程	章目	amp	start	m	中文	x	一行	请求	名	linear	回归	表达	表达式	达式	python	决策	线性	p
A Short Life	8	3	0	0	0	0	3	1	0	1	0	0	1	0	0	0	1	0	3	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	2	0	3	0	0	0	0	0	1	3	2	0	0	2	0	1	0	2	1	6	0	4	1	7	0	0	2	2	0	2	2	0	0	0	1	1	1	2	3	0	0	1	3	2	1	1	0	0	0	0	0	0	5	2	3	0	0	0	0	2	4	0	0	2	0	0	0	1	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	1	1	0	0	1	0	2	0	2	2	4	0	1	2	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	3	0	0	0	1	0	2	0	1	0	3	0	0	1	1	1	0	0	0	0	0	0	0	2	0	0	0	3	0	0	4	1	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	4	0	0	0	0	4	0	6	0	0	2	7	0	0	0	0	0	1	2	2	0	1	1	3	1	3	2	0	0	3	4	1	0	1	0	0	0	8	0	9	9	1	4	0	0	2	0	4	0	0	2	9	4	1	0	0	0	1	0	1	0	3	1	0	0	0	0	2	0	0	0	2	4	6	0	0	0	2	0	0	0	1	5	0	1	0	1	1	1	0	1	0	0	4	0	2	0	0	1	0	0	0	3	0	1	5	0	2	3	3	0	1	1	0	4	2	2	0	0	0	0	5	2	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	2	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	2	1	0	0	0	8	2	0	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0	5	0	0	0	0	2	0	1	0	1	0	10	0	0	0	0	0	2	0	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	2	1	3	1	2	2	3	1	2	4	0	0	0	0	0	0	0	0	0	0
阿顾的博客	0	5	0	1	0	0	0	2	7	0	0	0	0	0	0	0	4	1	10	0	0	1	3	0	0	0	1	0	0	4	1	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	4	17	0	2	1	0	4	0	1	0	1	1	0	2	1	0	0	2	0	2	6	1	2	2	0	0	0	0	0	0	1	4	0	4	0	0	0	2	1	1	0	3	0	0	0	1	0	3	0	2	2	2	0	2	1	0	5	1	0	0	0	0	4	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	7	0	2	0	1	4	4	1	11	0	1	1	2	1	0	0	0	1	7	0	0	6	0	0	0	3	1	1	0	0	0	0	1	4	0	0	3	1	1	0	1	0	0	1	2	6	0	4	3	2	2	2	0	2	2	1	0	0	0	2	3	7	0	0	1	0	4	0	2	3	1	0	0	0	8	3	0	0	1	0	1	3	0	0	1	0	0	0	3	0	5	1	3	8	0	0	1	0	1	3	0	3	0	0	0	0	1	8	0	2	1	0	5	5	0	0	0	0	0	1	3	1	1	0	0	0	0	4	0	0	0	0	3	0	1	1	1	1	0	2	0	2	1	11	2	0	0	2	4	2	1	2	3	0	2	0	0	0	0	0	0	0	3	2	0	0	0	0	2	2	0	0	7	1	2	1	0	4	0	2	2	0	4	2	0	0	1	0	0	2	3	4	0	1	0	2	0	5	1	0	1	2	1	0	3	3	0	4	0	3	1	1	0	0	0	0	0	3	1	1	0	3	0	0	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	3	0	0	2	0	0	0	0	0	0	2	3	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	3	0	0	2	5	0	1	0	1	1	0	5	0	5	4	0	3	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	1	0	4	2	0	2	0	1	3	0	9	2	3	0	0	3	2	2	3	0	0	0	0	0	0	0	0	0
u012915522的博客	0	18	0	3	0	0	0	0	0	4	0	0	1	5	0	0	2	1	11	0	3	9	3	0	2	0	0	0	0	0	0	0	0	1	2	0	0	11	1	6	0	0	0	1	0	0	2	20	0	1	0	0	1	2	0	0	1	0	0	1	1	0	0	0	2	0	1	1	0	0	5	5	0	1	4	0	2	1	1	0	0	0	0	2	1	1	2	0	8	0	1	0	0	0	1	1	0	2	0	3	0	0	6	1	6	0	0	0	0	0	0	2	5	0	0	0	0	0	0	1	0	1	2	0	1	1	5	1	0	2	10	10	0	0	0	2	2	1	3	0	3	0	0	0	6	0	2	0	0	0	1	0	1	2	0	0	0	1	0	0	1	0	0	5	0	0	1	1	0	0	1	1	2	3	0	3	1	0	0	0	0	1	2	0	0	0	0	0	0	0	3	0	0	0	1	0	1	2	0	0	13	2	5	0	12	1	0	2	0	0	2	1	0	0	0	0	0	1	0	6	1	4	0	1	0	0	5	2	0	0	2	0	1	0	0	0	0	9	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	1	1	0	1	0	0	0	0	6	0	0	0	0	1	0	0	0	3	0	14	0	2	1	0	0	0	1	3	2	3	1	1	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	5	2	0	0	2	1	1	0	0	0	1	1	0	0	4	0	0	1	0	0	3	3	0	2	0	0	0	0	0	0	0	1	3	3	1	0	0	2	3	2	0	2	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	3	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	11	11	5	0	0	0	0	0	2	0	0	0	2	1	0	0	2	0	0	0	5	0	4	0	1	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	24	0	1	0	0	2	1	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	11	0	0	0	0	23	3	0	0	4	2	2	2	2	5	5	0	0
飞火龙在天的博客	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	2	0	0	0	0	3	0	1	2	0	0	0	6	1	1	3	0	2	0	1	0	2	0	1	0	2	0	0	0	0	4	0	0	0	0	0	2	0	0	0	1	2	1	0	0	4	0	0	3	1	0	0	0	0	0	1	1	0	0	10	0	9	1	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	1	2	1	0	0	2	2	1	0	0	5	0	0	1	2	2	1	0	1	2	1	1	1	8	0	0	3	0	1	0	1	0	0	0	2	0	0	0	1	0	0	1	0	3	0	6	0	0	2	2	1	0	1	1	0	0	0	0	0	0	0	2	3	2	1	0	0	1	1	2	5	1	1	1	1	5	0	0	0	0	2	1	0	0	0	2	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	2	1	1	1	0	0	0	1	0	2	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	3	17	2	0	0	3	0	1	0	0	0	1	1	3	0	1	0	1	5	0	3	0	0	3	0	1	0	1	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	0	0	0	0	0	2	0	0	6	0	7	4	1	8	4	0	0	0	0	0	1	0	0	0	2	0	1	1	0	0	1	0	2	0	2	2	1	2	1	0	0	2	1	7	0	2	2	1	0	1	0	5	0	4	0	0	0	0	1	0	1	2	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	4	0	0	0	2	2	1	0	0	0	1	0	4	0	0	0	2	0	0	0	1	2	0	0	0	2	3	0	0	0	0	2	0	0	4	0	1	2	1	0	0	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	4	1	1	0	0	5	0	1	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0
呆呆象呆呆的博客	0	0	0	2	0	0	0	0	0	0	1	0	2	1	2	3	3	0	19	1	1	4	1	0	0	0	0	0	5	3	0	0	2	1	0	3	0	1	0	0	0	1	2	1	1	0	2	0	1	0	4	1	0	0	2	1	1	0	2	1	1	0	1	10	0	0	0	1	0	4	0	0	1	2	0	6	1	2	0	3	0	0	1	1	0	1	3	0	3	7	0	0	0	1	0	0	1	0	0	1	5	1	2	0	12	0	3	0	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	2	5	0	1	0	0	12	0	1	0	0	0	0	1	0	0	0	0	4	0	0	2	0	1	0	0	5	0	0	0	0	2	0	0	0	0	0	1	1	5	0	0	1	1	0	0	0	3	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	4	0	1	1	0	0	1	0	2	3	7	6	2	0	0	3	2	2	0	0	0	0	3	4	2	1	2	0	1	3	0	0	3	1	0	10	2	2	4	0	0	0	1	0	0	1	0	0	0	1	2	1	0	0	0	1	2	0	1	1	0	1	0	24	4	0	0	0	1	0	0	0	0	2	19	0	0	1	1	19	4	3	2	0	1	0	2	0	0	4	0	0	0	3	22	18	0	0	0	1	0	0	0	0	1	0	0	0	0	0	4	1	0	2	1	0	0	0	1	2	0	0	3	1	0	1	2	0	0	0	1	1	1	8	0	0	0	0	4	0	0	0	0	0	0	0	3	1	0	0	26	6	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1	1	0	0	0	2	0	0	0	1	0	0	1	1	0	5	0	1	0	0	0	0	2	2	0	0	1	0	0	1	1	0	0	9	0	0	1	0	2	0	3	0	2	0	0	0	0	2	0	5	37	0	0	2	1	3	0	3	0	0	3	4	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	5	0	14	18	0	0	0	2	11	0	0	0	2	6	4	0	0	4	2	3	14
特种兵—AK47	3	0	0	0	0	0	0	2	0	11	0	0	1	0	4	5	2	0	8	0	1	0	3	4	5	0	3	4	1	2	3	0	0	2	0	1	0	2	2	0	1	7	0	4	0	0	2	1	0	0	0	2	1	0	1	2	1	0	3	0	6	0	3	0	5	0	5	1	0	0	1	1	2	0	1	5	3	6	2	3	3	8	2	2	1	2	1	4	0	2	4	2	3	4	5	0	0	1	3	3	1	0	0	0	0	1	12	0	2	0	0	1	1	2	0	0	0	2	0	2	0	0	0	0	2	2	1	1	1	3	0	2	2	0	0	0	7	2	2	0	1	1	0	0	0	1	7	0	0	1	0	0	0	2	0	0	18	0	0	0	2	1	0	3	0	0	1	0	1	1	2	1	1	0	0	2	0	2	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	7	1	3	0	0	0	0	0	0	2	3	1	1	0	6	1	3	4	0	6	4	3	1	1	3	0	0	0	0	3	0	1	3	0	0	3	3	1	2	2	11	0	1	1	5	2	1	2	1	0	1	0	0	0	2	0	5	5	0	1	10	7	8	1	1	0	2	2	1	0	7	1	0	0	1	4	0	7	0	1	0	0	0	6	0	3	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1	1	1	2	0	1	6	0	0	0	0	0	2	1	2	2	4	8	0	1	0	12	4	0	3	1	0	0	0	0	3	2	2	0	4	0	0	0	1	0	3	7	0	5	2	1	2	3	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	1	0	2	0	1	0	2	0	1	2	0	3	0	0	1	6	0	0	1	0	0	0	2	3	0	1	4	1	0	5	2	0	0	1	2	1	2	0	0	0	2	0	0	2	2	3	3	0	0	0	0	4	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	2	0	0	0	8	0	0	0	0	2	0	0	0	1	0	0	0	0	0	4	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0
Java后端技术	20	0	2	1	2	0	0	20	0	0	0	0	0	0	4	0	0	0	0	2	0	1	0	3	5	2	0	10	0	0	0	0	1	1	0	0	0	0	0	0	0	2	9	3	0	1	1	0	0	1	0	0	0	0	0	1	2	3	0	5	5	0	0	0	1	2	2	3	0	0	0	0	1	0	0	0	4	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	5	2	6	0	0	0	0	0	2	0	0	0	1	0	8	0	2	0	0	0	5	1	0	9	0	0	0	0	0	2	2	0	4	0	0	0	0	0	2	0	1	1	5	1	0	0	0	5	0	0	0	0	3	2	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	9	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	6	0	4	1	0	3	0	13	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	2	1	0	3	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	24	0	0	0	0	0	0	0	3	3	0	3	3	2	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
郗晓勇|利己者生,利人者恒	1	0	0	0	0	3	4	6	1	1	0	0	0	0	0	2	4	2	6	1	0	1	0	6	1	1	2	7	4	2	2	0	2	1	0	0	0	0	0	2	2	0	1	2	0	1	2	0	0	7	4	1	0	1	1	3	12	3	0	0	0	0	7	0	1	0	2	0	0	0	0	0	0	0	0	0	4	1	2	1	2	0	10	4	1	0	0	0	0	2	0	4	0	0	1	0	0	0	0	0	1	4	1	0	1	0	0	0	1	0	0	1	14	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	2	0	0	1	0	0	1	0	1	0	3	0	3	2	2	0	0	0	4	0	0	1	0	1	0	3	0	0	4	0	0	0	0	1	2	3	0	7	1	1	1	1	2	2	0	1	1	0	1	1	0	0	0	1	5	3	3	1	0	0	0	2	0	0	0	4	2	6	3	0	0	0	0	0	0	0	2	0	0	1	0	3	1	0	0	0	9	1	1	1	0	1	0	0	2	0	3	3	2	2	4	1	0	7	1	2	0	0	9	6	0	0	5	2	0	0	2	2	0	1	3	0	4	0	11	4	0	2	4	0	0	8	0	0	1	5	7	1	1	1	0	2	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	2	1	0	2	2	0	0	0	0	20	0	0	1	0	9	2	0	0	0	1	2	0	2	1	0	1	0	3	1	0	0	2	0	0	0	0	0	0	0	2	3	1	2	1	1	0	0	0	1	0	0	1	0	0	3	0	3	0	19	0	0	0	0	4	1	0	0	2	0	0	14	1	7	0	7	1	0	0	0	2	2	0	0	1	0	2	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	6	1	0	3	2	2	2	2	0	2	0	6	0	0	0	0	0	0	0	0	0	2	1	4	0	0	0	3	0	0	0	0	0	4	0	0	0	4	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	1	0	0	0	2	2	2	0	0	0	0
花花的博客	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	4	1	0	2	0	1	3	1	1	1	0	1	0	0	0	0	0	0	3	0	0	0	0	2	0	5	1	1	2	1	5	0	0	2	0	0	2	0	1	0	2	1	0	0	3	0	0	0	0	0	2	0	0	0	0	1	1	1	0	0	0	3	1	1	1	0	4	0	1	1	1	1	2	14	0	2	0	1	2	0	1	0	25	0	1	0	3	0	0	0	1	0	0	0	0	2	1	0	0	0	1	0	3	6	7	1	1	0	3	0	1	0	1	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	3	0	0	2	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	3	0	2	0	0	0	0	0	1	1	1	1	0	1	0	1	2	1	0	0	0	0	2	2	2	0	3	0	1	2	1	1	0	2	1	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	1	1	0	7	1	0	0	1	0	0	2	4	5	0	1	1	0	0	15	2	2	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	3	0	0	2	6	0	1	0	0	0	0	0	1	2	0	1	1	0	0	1	0	0	0	2	0	0	2	0	0	0	1	1	0	1	2	0	0	0	0	0	1	0	0	1	2	0	0	2	0	0	3	6	2	2	0	1	0	0	0	1	0	2	0	1	1	2	0	1	6	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	1	2	1	0	0	0	0	0	0	1	0	4	0	2	0	0	2	0	0	0	0	0	0	0	1	3	2	0	0	0	0	8	0	0	0	0	0	2	0	0	0	18	0	0	0	0	0	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	7	0	0	0	1	7	0	0	0	2	0	4	6
JiajunBernoulli的博客	0	0	4	2	1	0	1	2	3	6	0	0	2	3	0	0	1	1	11	0	0	0	6	0	0	1	1	1	0	1	0	1	3	1	0	0	0	0	0	0	1	1	0	6	3	1	0	0	1	1	1	1	0	0	4	0	2	0	0	5	7	0	9	1	1	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	2	3	11	5	8	0	0	0	0	1	0	1	0	4	1	2	0	0	8	0	0	0	1	0	0	0	1	0	0	0	0	0	4	2	0	5	3	0	1	0	2	0	1	0	3	0	0	3	2	2	7	0	0	0	0	0	0	2	0	8	0	1	0	0	0	0	1	1	0	3	1	0	0	0	0	1	1	3	0	0	0	2	0	2	0	3	0	0	1	3	2	2	1	1	1	2	2	0	0	4	0	0	0	0	1	1	0	2	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	3	3	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	5	0	0	0	0	0	0	3	0	0	0	4	0	3	0	1	3	0	0	0	0	0	0	1	0	1	5	0	1	0	0	0	2	0	0	0	0	3	1	1	1	2	0	0	0	0	0	11	0	0	0	1	0	2	2	0	1	4	1	0	3	0	6	3	0	0	1	0	0	0	1	1	1	2	0	0	0	0	2	1	2	0	1	1	1	0	5	0	2	0	5	1	0	0	0	0	0	0	0	1	0	5	1	1	3	1	0	1	1	0	0	1	0	0	4	0	3	5	2	1	0	0	1	3	0	0	2	9	2	1	3	0	0	0	0	0	0	0	0	1	4	0	0	1	1	0	0	0	0	0	10	2	0	0	0	0	0	1	0	0	0	2	0	0	11	3	2	0	1	0	0	0	3	0	0	1	0	3	0	0	0	0	0	0	0	5	0	2	3	2	0	1	0	0	0	4	3	0	0	0	0	0	0	0	3	1	2	3	1	3	0	0	0	0	1	1	2	0	0	0	2	0	4	2	0	0	4	11	2	4	2	0	4	1	0	2	2	8	4	4	4	3	5	3	0
